log_name,drift_id,change_type,drift_type,complexity,change_point,log_size,noise_level
without_noise__log_100_1692952649.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1399, 2176]",3391.0,without_noise
without_noise__log_10_1692952190.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual']",,"[1029, 1562, 2818, 4306, 5516, 6341]",7405.0,without_noise
without_noise__log_11_1692952195.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1228, 1853]",3059.0,without_noise
without_noise__log_12_1692952196.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1187, 2142, 3311, 3901, 5376, 6349]",7548.0,without_noise
without_noise__log_13_1692952198.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'sudden', 'recurring', 'recurring', 'recurring']",,"[1285, 2064, 3509, 4569, 6017, 7324, 8391, 9657]",10777.0,without_noise
without_noise__log_14_1692952206.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1181, 2047, 3186, 3975, 5113, 6441, 7617, 8917]",10369.0,without_noise
without_noise__log_15_1692952210.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'sudden', 'gradual', 'gradual']",,"[1116, 1697, 3004, 4092, 4699, 5989, 7446, 8227]",9714.0,without_noise
without_noise__log_16_1692952213.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring']",,"[1356, 2761, 3835, 4592, 5716, 6979, 8389, 9274, 10631, 11912, 13144]",14309.0,without_noise
without_noise__log_17_1692952221.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1444, 2772, 3489, 4826, 6062, 6751]",8012.0,without_noise
without_noise__log_18_1692952223.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1389, 2280, 3635, 4421, 5728, 7035, 7597, 8723, 9996]",11493.0,without_noise
without_noise__log_19_1692952228.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'sudden']",,"[1474, 2389, 3492, 4788, 5647, 7050]",8136.0,without_noise
without_noise__log_1_1692952162.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1086, 1956]",3182.0,without_noise
without_noise__log_20_1692952238.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1357, 2105, 3482, 4422, 5484, 6787, 8017, 9381, 10872, 11904, 12802, 13833]",15047.0,without_noise
